track_id,track_key,split
1,C:minor,training
2,F#:major,validation
3,D:minor,training
4,A:minor,training
7,D#:minor,training
13,G#:major,training
21,F:minor,validation
24,E:major,training
26,E:minor,training
32,C#:major,training
36,A:minor,training
50,D:minor,validation
54,A:minor,training
62,G:minor,training
74,F:minor,validation
78,B:major,validation
82,C#:minor,training
87,D#:minor,training
89,C:minor,training
94,C:major,training
105,C:major,training
106,A#:major,validation
108,D#:minor,validation
119,B:minor,training
125,E:major,validation
128,G:minor,validation
130,C#:minor,training
132,E:minor,training
137,B:minor,validation
145,A#:minor,validation
146,B:minor,training
150,C#:minor,training
152,E:minor,training
153,C:minor,validation
155,G:minor,training
158,F:minor,training
162,D:major,training
166,C:major,training
170,C:minor,training
172,C#:major,training
174,A#:major,training
175,E:major,training
179,D:major,training
180,G#:minor,training
181,D:minor,training
184,F:minor,training
185,B:major,training
187,G#:major,training
191,C:major,training
192,E:minor,training
196,D:minor,validation
198,C:minor,training
199,G#:major,validation
202,E:minor,validation
206,B:minor,training
208,D:minor,training
212,C:minor,training
213,B:minor,training
218,A#:minor,training
221,F:minor,training
222,E:major,training
227,G:minor,training
228,B:minor,training
230,B:minor,training
236,G#:minor,training
242,C#:minor,training
244,G#:major,training
254,C#:minor,validation
256,A#:major,validation
257,D#:major,training
258,B:major,training
260,B:minor,training
264,D:minor,training
265,A#:minor,training
267,A:minor,training
268,E:minor,training
274,B:minor,training
283,G#:minor,training
286,C:minor,validation
290,D:major,training
292,B:major,training
295,C:minor,validation
299,D:minor,training
302,G#:minor,training
306,A:minor,training
310,F:minor,training
312,C:minor,training
313,G:minor,validation
318,D:minor,training
323,D#:major,training
324,C#:minor,training
331,C:minor,training
336,A:minor,validation
337,C:minor,training
338,C#:minor,training
339,E:major,validation
347,C:minor,validation
348,D:major,validation
349,G:minor,validation
358,A#:major,training
362,D:minor,training
365,C:minor,training
367,C#:major,training
370,C#:minor,training
371,C#:minor,training
377,G:minor,training
383,D#:minor,training
385,F#:major,training
391,F#:minor,training
397,C:major,training
398,E:minor,training
402,G#:major,training
403,D:minor,validation
406,A:major,training
407,C:minor,training
415,F:minor,validation
416,D:major,training
418,F#:minor,training
420,G:major,training
432,D:major,training
433,B:major,training
455,C#:major,training
460,C:minor,training
473,C:major,validation
475,G#:minor,training
481,C#:major,training
487,A:major,training
488,A#:major,training
497,C#:major,training
498,A:minor,training
499,E:minor,training
502,F#:minor,training
503,G#:major,training
514,D:minor,validation
517,D#:major,training
522,D:major,validation
524,B:major,training
526,A#:major,validation
531,E:minor,training
532,A:minor,training
540,C#:minor,training
542,C:minor,validation
546,C:minor,training
547,D#:major,validation
551,A#:minor,training
559,C:major,training
561,C#:major,training
568,F#:major,training
576,C:minor,training
577,D#:minor,training
578,C#:minor,validation
579,B:minor,training
581,D:minor,validation
583,B:minor,training
590,A:major,training
591,F:minor,training
594,D#:major,training
596,F:major,training
602,F#:minor,training
603,C#:minor,training
608,E:minor,training
609,G:minor,training
610,A#:major,training
620,F#:minor,training
626,G:minor,training
627,G#:minor,training
628,B:minor,training
633,C#:minor,training
640,C#:minor,training
642,A#:major,training
645,F#:minor,training
652,C:minor,training
658,A#:minor,training
660,C#:major,validation
662,G#:minor,training
671,C#:minor,training
674,F:minor,training
676,A:major,training
677,D#:minor,training
678,A:minor,training
680,G#:major,training
687,F:major,training
690,C:minor,training
692,C#:minor,training
